,Name,Vopt,g-z,gMAG,M*,sSFR,rms,VHI,W50,FHI,S/N,MHI
24,ASK277328,2725,0.72,-16.92,8.53,-9.75,0.56,2723,105,2723,15.1,8.28
25,ASK492645,1424,0.40,-13.50,7.01,-9.47,0.66,1434,87,1434,13.2,7.69
26,ASK277703,1265,0.63,-13.67,7.14,-9.61,0.62,1260,28,1260,6.5,7.0
27,ASK68781,1125,-0.38,-11.91,7.12,-9.59,0.55,1131,32,1131,17.2,7.3
28,ASK295498,2499,0.48,-16.95,6.1,-8.41,0.62,2509,101,2509,15.2,8.24
29,ASK95821,1204,0.63,-14.10,,,0.58,1212,29,1212,8.7,7.07
30,ASK596355,1258,0.42,-14.06,7.08,-9.48,0.63,1256,35,1256,7.3,7.1
31,PGC4243890,1298,0.24,-13.32,6.62,-8.98,0.53,1297,34,1297,8.4,7.11
32,NGC3357,9770,1.51,-22.32,11.41,-12.52,0.77,9740,113,9740,7.6,9.25
33,PGC4260762,1136,0.51,-13.25,6.93,-9.56,1.06,1132,41,1132,5.1,7.12
34,PGC1833985,1003,0.42,-13.87,7.09,-9.49,0.48,1006,42,1006,18.0,7.22
35,PGC4546173,1593,-0.01,-14.24,6.76,-8.80,0.85,1580,38,1580,4.8,7.27
36,ASK74477,1016,0.44,-13.16,6.71,-9.29,0.19,1021,31,1021,13.1,6.64
37,NGC3935,3066,1.37,-19.60,10.22,-10.77,0.51,3075,78,3075,9.9,8.09
38,ASK436517,905,0.63,-12.08,,,0.58,931,27,931,5.0,6.59
39,PGC1218832,1019,0.49,-13.16,6.8,-9.49,0.62,1019,35,1019,9.7,7.04
40,CGCG015-035,1191,0.64,-15.29,,,0.65,1197,61,1197,20.0,7.63
41,PGC1958740,2159,-0.05,-15.06,7.56,-9.91,0.25,2156,41,2156,24.7,7.73
42,PGC4544337,1112,0.51,-13.70,7.3,-10.09,0.26,1134,26,1134,8.1,6.62
43,PGC1456087,993,0.78,-13.81,,,0.45,1040,27,1040,4.0,6.48
44,PGC1767195,2391,0.57,-14.70,7.52,-9.55,0.32,2360,38,2360,10.1,7.51
45,ASK179268,994,0.35,-14.95,,,0.36,1008,42,1008,11.9,6.93
46,2MASXJ13584501+2409048,970,0.76,-13.86,7.34,-9.86,0.37,984,63,984,16.5,7.14
47,ASK99987,1643,0.37,-14.11,7.09,-9.35,0.29,1658,45,1658,14.6,7.37
48,ASK392553,3207,0.80,-16.38,8.39,-9.80,0.3,3185,81,3185,7.5,7.78
